City,Station Name,Latitude,Longitude
Lucknow,Lucknow Junction,26.8467,80.9462
Bhopal,Bhopal Junction,23.2599,77.4126
Pune,Pune Junction,18.5204,73.8567
Delhi,Delhi Junction,28.6565,77.2249
Varanasi,Varanasi Junction,25.3176,82.9739
Mirzapur,Mirzapur Junction,25.146,82.569
Uttarakhand,Uttarakhand Junction,30.3165,78.0322
Mumbai,Mumbai Junction,18.9398,72.8355
West Bengal,West Bengal Junction,22.5726,88.3639
Karnataka,Karnataka Junction,12.9716,77.5946
Agra,Agra Junction,27.1767,78.0081
Gorakhpur,Gorakhpur Junction,26.7634,83.3783
