Place Name,Location,Category,Ratings,Latitude,Longitude,Open Time,Close Time,Safety
Aga Khan Palace,Pune,Historical,4.5,18.5533,73.9028,9:00 AM,5:30 PM,Safe
Agrasen Ki Baoli,Delhi,Heritage,4.4,28.6269,77.222,9:00 AM,5:30 PM,Safe
Akshardham Temple,Delhi,Religious,4.7,28.6127,77.2773,9:30 AM,6:30 PM,Safe (Strict)
Ambedkar Memorial Park,Lucknow,Park,4.1,26.86,80.932,5:30 AM,8:30 PM,Safe
Ambedkar Park,Lucknow,Park,4.1,26.86,80.932,5:30 AM,8:30 PM,Safe
Assi Ghat,Varanasi,Ghat,4.6,25.2806,83.0049,12:00 AM,12:00 AM,Safe
Badrinath Temple,Uttarakhand,Religious,4.7,30.7433,79.493,4:30 AM,9:00 PM,Safe (seasonal access)
Bangalore Palace,Bangalore,Heritage,4.2,12.9981,77.592,10:00 AM,5:00 PM,Safe
Bannerghatta National Park,Bangalore,Wildlife,4.2,12.8,77.577,9:00 AM,5:00 PM,Safe
Bara Imambara,Lucknow,Heritage,4.6,26.847,80.915,6:30 AM,5:30 PM,Safe
Bara Imambara ,Lucknow,Heritage,4.6,26.847,80.915,6:30 AM,5:30 PM,Safe
Batasia Loop,Darjeeling,Heritage,4.5,27.0355,88.2663,7:00 AM,6:00 PM,Safe
Betihata Hanuman Mandir,Gorakhpur,Religious,4.4,26.7558,83.3715,5:00 AM,11:00 PM,Safe
Bharat Kala Bhavan Museum,Varanasi,Museum,4.3,25.2633,82.9893,10:30 AM,4:30 PM,Safe
BHU Campus,Varanasi,Campus,4.7,25.2677,82.9913,12:00 AM,12:00 AM,Safe
Birla Mandir (Laxmi Narayan),Delhi,Religious,4.5,28.6341,77.189,4:30 AM,9:00 PM,Safe
Brindavan Gardens,Mysore,Garden,4.5,12.4246,76.5383,9:00 AM,9:00 PM,Safe
British Residency,Lucknow,Historical,4.4,26.845,80.919,7:00 AM,7:00 PM,Safe
British Residency,Lucknow,Historical,4.4,26.845,80.919,7:00 AM,7:00 PM,Safe
Budhiya Mata Mandir,Gorakhpur,Religious,4.6,26.764,83.3736,5:00 AM,9:00 PM,Safe
Bypass Sankat Mochan Mandir,Gorakhpur,Religious,4.5,26.7542,83.3698,5:00 AM,11:00 PM,Safe
Chamundi Hill,Mysore,Religious,4.5,12.2969,76.6576,6:00 AM,8:00 PM,Safe
Chandni Chowk,Delhi,Market,4.3,28.6562,77.23,10:00 AM,8:00 PM,Safe (Crowded)
Chhatrapati shivaji Maharaj,Mumbai,Monument,4.7,18.9402,72.8345,12:00 AM,12:00 AM,Safe
Chhatrapati Shivaji Terminus,Mumbai,Heritage,4.7,18.9402,72.8356,12:00 AM,12:00 AM,Safe
Chota Imambara,Lucknow,Heritage,4.5,26.8475,80.9155,7:00 AM,7:00 PM,Safe
Chota Imambara ,Lucknow,Heritage,4.5,26.8475,80.9155,7:00 AM,7:00 PM,Safe
City Mall,Gorakhpur,Shopping Mall,4.1,26.757,83.3733,10:30 AM,11:00 PM,Safe
